company_name,website,primary_category,subcategory,hq_country,status
Zephyr (HuggingFace),https://huggingface.co/HuggingFaceH4/zephyr-7b-beta,AI/ML,LLM,USA,active
Nous Research,https://nousresearch.com,AI/ML,LLM Research,USA,active
MistralRS,https://github.com/EricLBuehler/mistral.rs,AI/ML,LLM Serving,Open Source,active
Candle (HuggingFace),https://github.com/huggingface/candle,AI/ML,ML Framework,USA,active
Burn (Rust ML),https://burn.dev,AI/ML,ML Framework,Open Source,active
MLX (Apple),https://ml-explore.github.io/mlx,AI/ML,ML Framework,USA,active
Flax,https://flax.readthedocs.io,AI/ML,ML Framework,USA,active
Haiku (DeepMind),https://github.com/google-deepmind/dm-haiku,AI/ML,ML Framework,UK,active
Triton (OpenAI),https://openai.com/research/triton,AI/ML,GPU Programming,USA,active
CuPy,https://cupy.dev,AI/ML,GPU Computing,Japan,active
Numba,https://numba.pydata.org,AI/ML,ML Acceleration,USA,active
